form,syl_count,meaning,derivation_mask,noun,verb,adjective,adverb,consensus_prefix,is_function_word,is_compound,compound_type,notes
rildalise,4,oracle; prophetic utterance / to prophesy,NV,rildajlise,rildavlise,,,o-,false,true,mono,
shenlise,3,one's appointed occurrence; personal destiny,N,shejnlise,,,,o-,false,true,mono,
shoun,1,since (temporal),,,,,,o-,true,false,,
mitok,2,until,,,,,,o-,true,false,,
austar,2,start of the dusk,N,austar,,,,i-,false,true,mono,
auronius,3,sky-like,N,aujronius,,,,i-,false,true,mono,
auroneus,3,of the sky,N,aujroneus,,,,i-,false,true,mono,
austarius,3,start-of-dusk-like,N,aujstarius,,,,i-,false,true,mono,
austareus,3,of the start of dusk,N,aujstareus,,,,i-,false,true,mono,
rius,1,likeness / similar as / kind of,NA,rius,,riuss,,o-,false,false,,Source root for similative suffix -ius
meus,1,"genre of sth / with the origin of/belongs to sth (-ian, -ese) / characteristics of sth",A,,,meuss,,ae-,false,false,,Source root for relational suffix -eus
song rius,2,acquaintance,N,song rius,,,,a-,false,true,multi,Compound: song + rius; phonotactic block → multi-word; similative
song meus,2,family friendship,N,song meus,,,,a-,false,true,multi,Compound: song + meus; phonotactic block → multi-word; relational
nia,2,"abundance, fullness / fully",NA,nia,,nias,,o-,false,false,,Full-root form of abundative suffix -ia. Syllables: ni/a. Prefix: o-.
posia,3,"land, realm, domain / state / city-state",N,pojsia,,,,ae-,false,false,,
lote,2,group / group of people / multitude / to group / collective,NVA,lote,lote,lotes,,a-,false,false,,Source of -lo pronoun plural suffix (fused) and lote multi-word collective marker for human nouns. Syllables: lo/te. Prefix: a-.
kilo,2,we,,,,,,o-,true,false,,Pronoun: ki plural (NOM)
kilon,2,us (ACC),,,,,,o-,true,false,,Pronoun: ki plural (ACC)
kilos,2,our (GEN),,,,,,o-,true,false,,Pronoun: ki plural (GEN)
tilo,2,you (pl),,,,,,o-,true,false,,Pronoun: ti plural (NOM)
tilon,2,"you (pl, ACC)",,,,,,o-,true,false,,Pronoun: ti plural (ACC)
tilos,2,"your (pl, GEN)",,,,,,o-,true,false,,Pronoun: ti plural (GEN)
silo,2,"they (living, pl)",,,,,,o-,true,false,,Pronoun: si plural (NOM)
silon,2,"them (living, pl, ACC)",,,,,,o-,true,false,,Pronoun: si plural (ACC)
silos,2,"their (living, pl, GEN)",,,,,,o-,true,false,,Pronoun: si plural (GEN)
nilo,2,"they (non-living, pl)",,,,,,o-,true,false,,Pronoun: ni plural (NOM)
nilon,2,"them (non-living, pl, ACC)",,,,,,o-,true,false,,Pronoun: ni plural (ACC)
nilos,2,"their (non-living, pl, GEN)",,,,,,o-,true,false,,Pronoun: ni plural (GEN)
tam,1,male / male / masculine,NA,tam,,tams,,a-,false,false,,Syllables: tam. Prefix: a-.
shem,1,female / feminine,NA,shem,,shems,,a-,false,false,,Syllables: shem. Prefix: a-.
tamae,2,man,N,tamae,,,,a-,false,true,mono,Syllables: ta/mae. Prefix: a-.
shemae,2,women,N,shemae,,,,a-,false,true,mono,Syllables: she/mae. Prefix: a-.
chel,1,child / childish,NA,chel,,chels,,a-,false,false,,Syllables: chel. Prefix: a-.
ler,1,girl,N,ler,,,,a-,false,false,,Syllables: ler. Prefix: a-.
lar,1,boy,N,lar,,,,a-,false,false,,Syllables: lar. Prefix: a-.
chellar,2,son,N,chellar,,,,a-,false,true,mono,chel + lar. Syllables: chel/lar. Prefix: a-.
cheller,2,daught,N,cheller,,,,a-,false,true,mono,chel + ler. Syllables: chel/ler. Prefix: a-.
rinok param,4,measurement,N,rinok param,,,,o-,false,true,multi,result compound
lu,1,"property suffix, -ness / quality",N,lu,,,,o-,false,false,,Combining form of pireilu
rin,1,"measure suffix, -th / degree",N,rin,,,,o-,false,false,,Combining form of rinok
par,1,process / to process / proceed,NV,par,par,,,e-,false,false,,
choum,1,harvest / harvesting / reap,NV,choum,choum,,,u-,false,false,,root
il,1,stop / halt / stop / halt,NV,il,il,,,o-,false,false,,root
apa,2,seed / seeding / seed,NV,apa,apa,,,u-,false,false,,root
tlar,1,period / time interval,N,tlar,,,,o-,false,false,,root
oslise,3,existence / to exist / existent,NVA,ojslise,ovslise,oslijse,,o-,false,true,mono,root
os₁,1,"having, own / have",NV,os₁,os₁,,,o-,false,false,,subscript escape hatch — os already exists as function word (PART)
klush lu,2,courage,N,klush lu,,,,a-,false,true,multi,
argonnamae,4,lover / one who loves,N,argojnnamae,,,,a-,false,true,mono,
argonnamae lise,6,fated lover / destined beloved / appointed lover,N,argonnamae lise,,,,a-,false,true,multi,
wes,1,things / stuff,,wes,,,,e-,false,false,,"suffix source root for -wes (Collective, §I-J)"
rem,1,former one / that which once was but is no longer,,rem,,,,o-,false,false,,"suffix source root for -rem (Retrospective, §I-K)"
rum,1,new or revived form / that which is yet to be but is soon coming,,rum,,,,o-,false,false,,"suffix source root for -rum (Prospective, §I-L)"
pih,1,prior / previous / before (in time),,,,pihs,,o-,false,false,,"Source root for pi- prefix. ADP sense ""before (in time)"" added post-creation."
pah,1,subsequent / later / after (in time),,,,pahs,,o-,false,false,,"Source root for pa- prefix. ADP sense ""after (in time)"" added post-creation."
seftah,2,meta / transcendent / beyond,,,,seftahs,,o-,false,false,,"Source root for sefta- prefix. ADP sense ""beyond"" added post-creation."
doir,1,little one / young one / little / small / young / cute,,doir,,doirs,,u-,false,false,,Source root for doi-/doir- prefix.
meson,2,giant / enormous thing / huge / giant / enormous / trillion (10^12),,meson,,mesons,,y-,false,false,,"Source root for mes- prefix. NUM sense ""trillion (10\u00b9\u00b2)"" added post-creation via edit."
mik,1,study / field of study,,mik,,,,o-,false,false,,Source root for -ik/-mik suffix.
mlis,1,method / way,,mlis,,,,e-,false,false,,Source root for -is/-mlis suffix. Whitelisted -s final root; A/D form = mlises.
aigan,2,repetition / renewal / to repeat / to do again / repeated / renewed / repeatedly,,aigan,aigan,aigans,aigans,o-,false,false,,Source root for ai-/aig- prefix.
konta,2,opposition / adversary / to oppose / to counter / opposing / contrary,,konta,konta,kontas,,o-,false,false,,Source root for kon- prefix.
weikra,2,weakness / to weaken / weak / weakly,NVAD,weikra,weikra,weikras,weikras,o-,false,false,,Near-collision flag: starts with wei (interrogative root). Reviewed — false alarm.
saelom,2,peace / to pacify / make peace / peaceful / peacefully,NVAD,saelom,saelom,saeloms,saeloms,o-,false,false,,root
arse,2,buttocks / arse / ass,N,arse,,,,u-,false,false,,root
tesar,2,art / artistic / artistically,NAD,tesar,,tesars,tesars,e-,false,false,,Phonologically paired with tesak (create); t-s frame = creation semantic field.
lausta,2,song / to sing / lyrical / songful / lyrically,NVAD,lausta,lausta,laustas,laustas,u-,false,false,,root
messa,2,greatness / great / greatly,NAD,messa,,messas,messas,o-,false,false,,root
raekum,2,rest / repose / to rest / relax / restful / restfully,NVAD,raekum,raekum,raekums,raekums,o-,false,false,,root
raekumlausta,4,requiem,N,raekumlausta,,,,u-,false,true,mono,Descriptive noun-noun compound (rest + song). Upgraded to mono per compounding.md Rule 5.
mlaska,2,sword,N,mlaska,,,,e-,false,false,,ml- frame paired with maliu (knife); bladed object family.
sefe,2,hammer / to hammer,NV,sefe,sefe,,,e-,false,false,,root
talo,2,copper / copper-coloured,NA,talo,,talos,,y-,false,false,,"bare root; metal family (cf. giliu 'metal', y-). Near-collision with kilo (LD2) — reviewed, not blocking."
ipo,2,"trap / to trap, catch in a trap",NV,ipo,ipo,,,e-,false,false,,"ip- hunting family (cf. ipon truss, ipot lure, e-). Near-collisions: po 'exclusive or' (LD1), meipo 'around' (LD2) — flagged, proceed."
ipon,2,"truss / to truss, bind tightly",NV,ipon,ipon,,,e-,false,false,,"ip- constraint family (cf. ipo trap, e-). Near-collisions: ipo (LD1, intended), pona/po (LD2) — proceed."
ipot,2,"lure / to lure, tempt",NV,ipot,ipot,,,e-,false,false,,"ip- hunting family (cf. ipo trap, ipon truss, e-). Near-collisions: ipo/ipon (LD1, intended), po (LD2) — proceed."
gaeth,1,"lance / to lance, pierce",NV,gaeth,gaeth,,,e-,false,false,,"polearm family (cf. mlaska 'sword', e-). 1 syllable; ae→back ACC/GEN (gaethna, gaethsa)."
pilau,2,gate,N,pilau,,,,ae-,false,false,,"pil- opening family (cf. piliu 'door', ae-). Near-collision piliu (LD1, intended) — proceed."
choumtek,2,sickle,N,choumtek,,,,e-,false,true,mono,"choum (harvest/reap, u-) + tek (tool, e-). Instrument head → e-. Pattern auto=instrument, Rule Ref: rules/3-subsystems/compounding.md (Instrument head tek)."
choumia,3,"bountiful harvest / fruitful, bountiful",NA,choujmia,,choumija,,u-,false,true,mono,"choum (harvest, u-) + -ia 'abundance' (nia). Abundative inherits u- from base; cf. choumar autumn. Pattern auto=abundative, Rule Ref: rules/3-subsystems/derivational-suffixes.md (-ia Abundative)."
kacit,2,"fence / to fence, enclose",NV,kacit,kacit,,,ae-,false,false,,"boundary family (cf. piliu door, pilau gate, ae-)."
aufe,2,bird (zoological classification),N,aufe,,,,a-,false,false,,"Register distinction: aufe = bird as zoological category (cf. fein = common bird, 鳥 vs 禽)"
kona,2,fox,N,kona,,,,a-,false,false,,Form changed from kon to avoid collision with derivational prefix kon- (anti-)
kaw,1,"crow, caw (crow's cry) / to caw",NV,kaw,kaw,,,a-,false,false,,Onomatopoeic. Pattern follows wug (dog/bark).
wul,1,"wolf, howl (wolf's cry) / to howl",NV,wul,wul,,,a-,false,false,,Phonologically paired with wug (dog). Pattern follows wug (dog/bark).
auri,2,"star / starry, dispersed, scattered",NA,auri,,auris,,i-,false,false,,Reform of sola. sola to be deprecated and superseded by auri. Phonologically grouped with auron (sky).
enli,2,"to heighten, raise / high / highly",VAD,,enli,enlis,enlis,o-,false,false,,"enlirin = height (measure) available by -rin suffix, not stored."
anlu,2,to lower / low / lowly,VAD,,anlu,anlus,anlus,o-,false,false,,"Antonym of enli. anlurin = lowness (measure) available by -rin suffix, not stored."
srata,2,"rotation, spin / to rotate, spin, turn / rotating, rotary / rotationally",NVAD,srata,srata,sratas,sratas,o-,false,false,,"Near-collision with srato (house) — distance 1, but semantically distinct domains."
tlera,2,thunder / to thunder / thunderous / thunderously,NVAD,tlera,tlera,tleras,tleras,i-,false,false,,root
argoi,2,purity / to purify / pure / purely,NVAD,argoi,argoi,argois,argois,o-,false,false,,root
saeche,2,saint / saintly / saintly,NAD,saeche,,saeches,saeches,u-,false,false,,root
galut,2,"exile / to exile, banish",NV,galut,galut,,,o-,false,false,,root
blalak,2,destruction / to destroy / destructive / destructively,NVAD,blalak,blalak,blalaks,blalaks,y-,false,false,,root
milta,2,"fatality / fatal, deadly / fatally",NAD,milta,,miltas,miltas,a-,false,false,,"Phonological family: mil (death), milise (appointed death)."
dunom,2,"fortress / fortress-like, fortified",NA,dunom,,dunoms,,y-,false,false,,root
ketush,2,whale,N,ketush,,,,a-,false,false,,root
aedin,2,"plain (grassland) / flat, level / plainly, flatly",NAD,aedin,,aedins,aedins,ae-,false,false,,root
rican,2,"root, source, origin / fundamental, rooted / fundamentally",NAD,rican,,ricans,ricans,u-,false,false,,root
mlara,2,"a kill / to kill / deadly, killing / fatally",NVAD,mlara,mlara,mlaras,mlaras,o-,false,false,,root
mlada,2,murder (crime) / to murder / murderous / murderously,NVAD,mlada,mlada,mladas,mladas,o-,false,false,,root
oki,2,"core, central part, innermost part / core, essential, fundamental / essentially, fundamentally, at the core",NAD,oki,,okis,okis,o-,false,false,,root
okira,3,"hub, busy place, center of activity / bustling, hub-like / busily, in a bustling manner",NAD,okira,,okiras,okiras,a-,false,false,,root
okika,3,"capital, capital city, seat of government / capital, primary, foremost",NA,okika,,okikas,,ae-,false,false,,root
sentum,2,"center, midpoint / to center, to place at the center, to focus / central, located at the center / centrally",NVAD,sentum,sentum,sentums,sentums,o-,false,false,,root
fimne,2,on the left,,,,,,o-,true,false,,spatial postposition; derived from fim (left) + -ne
hapne,2,on the right,,,,,,o-,true,false,,spatial postposition; derived from hap (right) + -ne
choroi,2,"morning / morning, of the morning / in the morning",NAD,choroi,,chorois,chorois,a-,false,false,,root
sarroi,2,"afternoon / afternoon, of the afternoon / in the afternoon",NAD,sarroi,,sarrois,sarrois,a-,false,false,,root
sarrok,2,"early morning, predawn hours (00:00-05:00) / predawn, early-morning / in the early morning, before dawn",NAD,sarrok,,sarroks,sarroks,a-,false,false,,root
losfi,2,"liking, fondness, preference / to like, to enjoy, to be fond of",NV,losfi,losfi,,,o-,false,false,,root
ime,2,"the past, time before now / past, former, bygone / in the past, formerly, ago",NAD,ime,,imes,imes,o-,false,false,,"im- temporal family: ima (present), ime (past), imu (future)"
imu,2,"the future, time after now / future, forthcoming, eventual / in the future, eventually",NAD,imu,,imus,imus,o-,false,false,,"im- temporal family: ima (present), ime (past), imu (future)"
klofi,2,"glory, splendor, renown / glorious, splendid / gloriously",NAD,klofi,,klofis,klofis,o-,false,false,,root
klur,1,"war, conflict / to wage war, to war against",NV,klur,klur,,,a-,false,false,,"kl- military family: klush (blood), klur (war), klup (march), klusin (victory)"
klup,1,"march, military advance / to march",NV,klup,klup,,,a-,false,false,,kl- military family
klusin,2,"victory, triumph / victorious, triumphant / victoriously",NAD,klusin,,klusins,klusins,a-,false,false,,kl- military family
aiganar,3,"no longer, not anymore",D,,,,aiganars,o-,false,true,mono,aigan (again/repeat) + nar (not). Mono-word negation compound.
resrem,2,"extinct being, that which has ceased to exist / extinct",NA,resrem,,resrems,,o-,false,true,mono,"res (being) + -rem (Retrospective: former X, from rem). Consonant-initial suffix, clean fuse."
resrum,2,"gestation, something developing or brewing over time / gestating, simmering, brewing, developing and intensifying over time",NA,resrum,,resrums,,o-,false,true,mono,"res (being) + -rum (Prospective: that which is yet to be, from rum). Mirror of resrem."
pires,2,"predecessor, prior existence, antecedent / preceding, prior to existence",NA,pires,,piress,,o-,false,true,mono,"pi- (Temporal Pre-, from pih) + res (being)"
pares,2,"successor, posterior existence / succeeding, posterior to existence",NA,pares,,paress,,o-,false,true,mono,"pa- (Temporal Post-, from pah) + res (being)"
shukau,2,"almost, nearly / to arrive soon, to be imminent",DV,,shukau,,shukaus,o-,false,true,mono,shuk (fast) + kau (arrive). No pattern.
bopne,2,below,,,,,,o-,true,false,,spatial postposition; bop (bottom) + -ne. Mirror of rapne (above).
sysmoi,2,"thanks (everyday politeness; acknowledging a service, favour, or small help); excuse me, please (polite request marker)",,,,,,o-,true,false,,sys- politeness family. Everyday casual thanks and polite requests.
sysmou,2,"thanks (deeper gratitude; for a gift, kindness, compliment, or thoughtful act)",,,,,,o-,true,false,,sys- politeness family. Deeper gratitude vs everyday sysmoi.
sysmil,2,my condolences,,,,,,o-,true,false,,sys- politeness family.
sysril,2,"politeness, courtesy / polite, courteous / politely",NAD,sysril,,sysrils,sysrils,o-,false,false,,sys- quality family.
sysbim,2,"agreement, consent / to agree, to consent",NV,sysbim,sysbim,,,o-,false,false,,sys- social family.
bimlor,2,"opinion, view, viewpoint",N,bimlor,,,,o-,false,false,,Treated as bare root for now.
mlar,1,head (body part),N,mlar,,,,a-,false,false,,ml- body/family.
sysloi,2,welcome,,,,,,o-,true,false,,sys- politeness family.
mlarmae,2,"chief, head, leader",N,mlarmae,,,,a-,false,true,mono,"mlar (head) + -mae (Agent, from maeha)"
aka,2,"an alternate form, variant, another rendering of the same thing",N,aka,,,,o-,false,false,,"Root of the aka- family (aka, akaberat, akanumin, akaur, akauselo). Near-collision with taka 'eat' (LD1) — different domain/POS, reviewed, non-blocking."
akaur,2,"an alternative, an option / alternative, alternate; as a substitute / alternatively",NAD,akaur,,akaurs,akaurs,o-,false,false,,"aka- family. Renamed from akau to avoid near-collision with kau 'arrive, come' (id 43). Syllable division a.kaur."
lith,1,"stone / stony, made of stone",NA,lith,,liths,,y-,false,false,,"Root of the -lith family (lith, galith, gilith)."
galith,2,"rock (a large mass of mineral matter) / rocky, of rock",NA,galith,,galiths,,y-,false,false,,-lith family.
gilith,2,"mineral(s); ore — naturally occurring inorganic matter / mineral, mineral-rich",NA,gilith,,giliths,,y-,false,false,,-lith family.
shilim,2,"small stream, brook, creek",N,shilim,,,,i-,false,false,,"Watercourse family (shili river, i-). Near-collision with shili 'river' (LD1) — same watercourse domain, size-nuance distinction, reviewed, proceed."
akaberat,4,synonym; a word with the same or near-same meaning as another / synonymous,NA,akaberat,,akaberats,,o-,false,true,mono,aka (alternate form) + berat (word). Head-last; non-head compound (no pattern).
akanumin,4,"alias, assumed name, another name for the same referent / by the alias of, a.k.a.",ND,akanumin,,,akanumins,o-,false,true,mono,aka (alternate form) + numin (name). Head-last; non-head compound (no pattern).
akauselo,4,"backup plan, alternative way, fallback / as a backup, as a fallback",ND,akauselo,,,akauselos,ae-,false,true,mono,"akaur (alternative) + selo (way, ae-). r-elision at fusion boundary: akaur+selo → akauselo. Head-last; non-head compound (no pattern)."
wonlira,3,seawater,N,wonlira,,,,i-,false,true,mono,"wonli (sea, i-) + lira (water, i-). Medial li-collapse at fusion boundary: wonli+lira → wonlira. Head-last; non-head compound (no pattern)."
seli,2,birth / to be born,NV,seli,seli,,,a-,false,false,,"Head of the sel- birth family (seli, seliroi, selise)."
rilse,2,legend / legendary,NA,rilse,,rilses,,o-,false,false,,Narrative family.
beril,2,"story, tale, narrative",N,beril,,,,o-,false,false,,A 'story-like' dropped — similative -ius covers it.
sym,1,"god, deity / divine",NA,sym,,syms,,y-,false,false,,"sym- family (sym, symrilse)."
shinobi,3,"ninja, hidden covert agent",N,shinobi,,,,a-,false,false,,Cultural loanword.
hula,2,dance / to dance,NV,hula,hula,,,u-,false,false,,Prefix u- (per review).
priko,2,laziness / lazy / lazily,NAD,priko,,prikos,prikos,o-,false,false,,Quality root.
seliroi,3,birthday,N,seliroi,,,,a-,false,true,mono,seli (birth) + roi (day). Head-last; non-head compound (no pattern).
selise,3,the appointed time of birth; the ordained hour of one's coming into being,N,selise,,,,a-,false,true,mono,seli (birth) + -lise (ordained occurrence); inherits a- from base seli.
symrilse,3,myth / mythical,NA,symrilse,,symrilses,,o-,false,true,mono,sym (god) + rilse (legend). A = mythical only. Head-last; non-head compound (no pattern).
lifa,2,"transformation, a transform / to transform, to change (into something else) / transformative",NVA,lifa,lifa,lifas,,o-,false,false,,lif- family head.
nomik,2,"study, field of study / to study / studious",NVA,nomik,nomik,nomiks,,o-,false,false,,Full content root; mik is its shortened combining form (-ik/-mik suffix).
nomir,2,"order, law, rule / ordered, lawful / to order, to decree",NAV,nomir,nomir,nomirs,,o-,false,false,,"nom- family (nomik, nomir)."
loce,2,"administration, governance / to administer, to govern, to manage / administrative",NVA,loce,loce,loces,,o-,false,false,,loce- family head; combining/source form for locemir.
sou,1,"continuation / to continue, to proceed, to go on / continuing, ongoing",NVA,sou,sou,sous,,o-,false,false,,"sou- family (sou, ilsou)."
fid,1,"goal, aim, objective / to aim at, to target, to intend",NV,fid,fid,,,o-,false,false,,"fid- family (fid, fidden; cf. fidak purpose-particle)."
fidden,2,"reason, rationale, grounds / to reason, to rationalise",NV,fidden,fidden,,,o-,false,false,,fid- family.
misomik,3,"musicology, the study of music / musicological",NA,misomik,,misomiks,,o-,false,true,mono,"miso (music, u-) + -mik (study of, from nomik). Fixed o- per §IV-A."
locemir,3,"council, governing body",N,locemir,,,,o-,false,true,mono,loce (administration) + nomir (order/law); no- of nomir elides → locemir. Head-last; non-head compound.
ilsou,2,"sufficiency, enough / enough, sufficient / sufficiently",NAD,ilsou,,ilsous,ilsous,o-,false,true,mono,il (stop/halt) + sou (continue). Head-last; non-head compound.
posim,2,"nation (the people, a people sharing identity) / national",NA,posim,,posims,,ae-,false,false,,"pos- land family; near-collision with posia (state/land, d=1) accepted — nation = the people, distinct from the polity."
poskae,2,"country, land, territory / country-wide, of the land",NA,poskae,,poskaes,,ae-,false,false,,"pos- family; country = physical territory, distinct from posia (state/polity). Near-collision poska (place, d=1) accepted."
posloce,3,province / provincial,NA,posloce,,posloces,,ae-,false,true,mono,pos (land) + loce (administration); head-last. pos- family ae-.
poslam,2,"city, urban settlement / urban, of the city",NA,poslam,,poslams,,ae-,false,false,,"pos- family; urban settlement, distinct from posia (polity/city-state reading)."
ruson,2,"separation / to separate, to set apart / separate, distinct / separately",NVAD,ruson,ruson,rusons,rusons,ae-,false,false,,rus- family (rusome); phonesthetic pairing set ae- overriding o-.
rusomi,3,"district, civil division / district-level, of a district",NA,rusomi,,rusomis,,ae-,false,false,,"rus- family; near-collision rusome (room, d=1) accepted — concrete enclosed space vs bounded administrative region."
pegloce,3,county / county-level,NA,pegloce,,pegloces,,ae-,false,false,,"pe- land family; near-collision poska (place, d=1) accepted."
ikke,2,"closure, closing / to close, to shut / closed",NVA,ikke,ikke,ikkes,,o-,false,false,,"near-collision ikne (inside, d=1) accepted — distinct domains (locative vs closed-state)."
wone,2,"opening, breadth / to open, to widen / open, broad, wide / openly, broadly",NVAD,wone,wone,wones,wones,o-,false,false,,wonli/wonir own i- (sea/ocean) sub-family; wone kept distinct at o-.
rusoloce,4,"canton / canton-level, of a canton",NA,rusoloce,,rusoloces,,ae-,false,false,,rus- family; bare root (no rus root for rus+loce compound).
grid,1,"trust, faith / to trust / trusting",NAV,grid,grid,grids,,u-,false,false,,grid- family head.
gridin,2,"promise, pledge / to promise, to pledge",NV,gridin,gridin,,,u-,false,false,,grid- family (grid trust).
sylor,2,mystery / to mystify / mysterious,NVA,sylor,sylor,sylors,,y-,false,false,,"Originally sylos (rejected: 2-syl root ending in -s). Redesigned to sylor. y- dark/foreboding family (my, mylise, wamy)."
syloris,3,"magic, the art of the mysterious / magical",NA,syloris,,syloriss,,y-,false,true,mono,sylor (mystery) + -is/-mlis (method-to). y- family.
tesar param,4,"art work, a work of art",N,tesar param,,,,e-,false,true,multi,"tesar (art, e-) + param (result, e-). Head-last; head noun param carries e-."
hilorus,3,"exposure / to expose, to reveal, to lay bare / exposed, laid bare",NVA,hilorus,hilorus,hiloruss,,u-,false,false,,Standalone root; NOT rus-/ruso- family (no shared ruso- onset). u- (user).
hilora,3,"nudity, bareness / nude, naked, bare / to bare, to strip",NAV,hilora,hilora,hiloras,,u-,false,false,,hilo- family (hilorus expose). u- family.
hasti,2,"forgiveness, pardon / to forgive, to pardon / forgiving",NAV,hasti,hasti,hastis,,o-,false,false,,Abstract moral concept; o-.
enlirin,3,"height, the measure of high",N,enlirin,,,,o-,false,true,mono,enli (high) + -rin (measure). o- per -rin measure rule.
amosi,3,"because of, due to",,,,,,o-,true,false,,"Function word. amo- family; sibling of amo (because, PART, clause-level). amosi takes a noun-phrase cause/reason."
altem,2,"personality, character, temperament / personal, of one's character",NA,altem,,altems,,o-,false,false,,alt- family head.
altid,2,"acting, drama, role-play / to act, to perform (a role) / dramatic, theatrical",NVA,altid,altid,altids,,o-,false,false,,alt- family (altem). Distinguish from chap (a deed/action) — this is performative.
altirma,3,"mask, a face-covering / to mask, to disguise, to conceal identity",NV,altirma,altirma,,,e-,false,false,,alt- family. e- (crafted object) chosen over family o-.
altor,2,"role, part, function, persona",N,altor,,,,o-,false,false,,alt- family.
alkam,2,"dressing-up, a costume / to dress up, to don a costume, to get into character / dressed-up, costumed",NVA,alkam,alkam,alkams,,o-,false,false,,"alkam- family. Near klam (cloth, d=2) — distinct domain/POS. o- (alt- persona family)."
alkamer,3,"accessories, trappings of an outfit",N,alkamer,,,,e-,false,false,,alkam- family. e- (crafted objects).
frunia,3,"floweriness, abundance of flowers / flowery, abounding in flowers",NA,frunia,,frunias,,u-,false,true,mono,"fru (flower, u-) + -ia (abundative). Base-inherit u-."
tyse,2,"goodbye / a farewell, a send-off / farewell, valedictory",NA,tyse,,tyses,,o-,false,false,,Mixed content+function (cf. hei). Counterpart to hei (hello).
mic,1,"correctness, accuracy / to correct, to set right / correct, right, accurate / correctly",NVAD,mic,mic,mics,mics,o-,false,false,,"Distinguish from ema (true, veridical) — correct = error-free/proper."
bli,1,"wrongness, error / to wrong, to err / wrong, incorrect, in error / wrongly, incorrectly",NVAD,bli,bli,blis,blis,o-,false,false,,Antonym of mic (correct). Distinguish from bonak (bad = moral/qualitative).
sik,1,"sin, a moral transgression, wrongdoing / to sin, to commit a moral transgression / sinful, morally wrong / sinfully",NVAD,sik,sik,siks,siks,y-,false,false,,"sik- family head. y- (dark/moral register). Distinguish from mlada (crime/legal), bli (wrong = error), bonak (bad = qualitative). Near-collisions: si/sin/sis pronoun set (d=1, different domain/POS — tolerate)."
siklatif,3,"salvation, deliverance from sin",N,siklatif,,,,y-,false,true,mono,"sik (sin) + latif (save, a-). y- (sik family)."
tifor,2,"lord, sovereign, master",N,tifor,,,,o-,false,false,,"secular abstract. Distinguish from sym (god, deity). o- over y-."
siklatifor,4,"savior, deliverer",N,siklatifor,,,,y-,false,true,mono,3-root: sik+latif+tifor = sin-save-lord. y- (sik family).
senok,2,"middle, the mid of a span / mid, middle",NA,senok,,senoks,,ae-,false,false,,"ron- age family. ae- (life-period). Distinguish from sentum (center/midpoint, geometric), oki (core). Feeds senokron."
chelron,2,childhood,N,chelron,,,,ae-,false,true,mono,"chel (child, a-) + ron (age-period, ae-). ae- (ron family)."
senokron,3,"middle-aged, the middle period of life",N,senokron,,,,ae-,false,true,mono,"senok (mid, ae-) + ron (age-period). ae- (ron family)."
nobaron,3,"elderly, old age",N,nobaron,,,,ae-,false,true,mono,"noba (old, u-) + ron (age-period). ae- (ron family)."
nibaron,3,"teenage, adolescence",N,nibaron,,,,ae-,false,true,mono,"niba (young, u-) + ron (age-period). ae- (ron family)."
logerron,3,"adult, prime of life, the age of strength",N,logerron,,,,ae-,false,true,mono,"loger (strength, a-) + ron (age-period) = age of strength. ae- (ron family)."
awino,3,"red, the colour red / red, red-coloured",NA,awino,,awinos,,a-,false,false,,"Colour-term closed class: fossilised a-+wino (colour). Frozen prefix, used bare, no re-prefix. a- (red/ontology)."
ewino,3,"yellow, the colour yellow / yellow, yellow-coloured",NA,ewino,,ewinos,,e-,false,false,,Colour-term closed class: fossilised e-+wino. e- (yellow/crafted).
aewino,3,"brown, the colour brown / brown, brown-coloured",NA,aewino,,aewinos,,ae-,false,false,,Colour-term closed class: fossilised ae-+wino. ae- (brown/earth).
owino,3,"white, the colour white / white, white-coloured",NA,owino,,owinos,,o-,false,false,,Colour-term closed class: fossilised o-+wino. o- (white/abstract).
iwino,3,"blue, the colour blue / blue, blue-coloured",NA,iwino,,iwinos,,i-,false,false,,Colour-term closed class: fossilised i-+wino. i- (blue/fluid).
uwino,3,"green, the colour green / green, green-coloured",NA,uwino,,uwinos,,u-,false,false,,Colour-term closed class: fossilised u-+wino. u- (green/organic).
ywino,3,"black, the colour black / black, black-coloured",NA,ywino,,ywinos,,y-,false,false,,Colour-term closed class: fossilised y-+wino. y- (black/mass).
arma,2,"dear, beloved / dear, beloved, endearing",NA,arma,,armas,,a-,false,false,,arma- affection family head. a- (living/person-oriented). Distinguish argonna (love).
morsa,2,"wife, spouse (female)",N,morsa,,,,a-,false,false,,Kinship term. a- (living).
armati,3,"darling, sweetheart / darling, cherished",NA,armati,,armatis,,a-,false,false,,"arma- family. NOT arma+ti (ti = ""you"" pronoun); fossilised root. a-."
kiro,2,"text, written content / textual, written",NA,kiro,,kiros,,o-,false,false,,"kir- writing family head. o- (abstract content). Distinguish berat (word), kira (book)."
kirolote,4,"paragraph, a block of text",N,kirolote,,,,o-,false,true,mono,kiro (text) + lote (group). Non-human lote → head-class o-. First generalised non-human lote compound (spec §I-G amended).
kiroli,3,"section, a portion of text",N,kiroli,,,,o-,false,true,mono,"kiro (text) + roli (a lot / many) = a lot of text. o-. Not kiro+li (li = ""if"" subordinator)."
kiromae,3,"writer, author",N,kiromae,,,,a-,false,true,mono,kiro (text) + maeha (person). Agent. a- (living).
